question,model_answer,category
"HTTPS의 통신 과정에서 대칭키와 비대칭키는 어떻게 사용되나요?","초기 TLS Handshake 과정에서는 세션키를 안전하게 공유하기 위해 비대칭키를 사용하고, 공유가 완료된 이후의 실제 데이터 통신에서는 오버헤드를 줄이기 위해 대칭키(세션키)를 사용합니다 [48, 50].","웹/HTTP"
"GET 메서드와 POST 메서드의 차이점에 대해 설명해주세요.","GET은 데이터를 조회할 때 URL의 파라미터(헤더)에 데이터를 담아 전송하며, POST는 데이터를 생성할 때 HTTP 메시지의 바디(Body)에 데이터를 저장하여 전송합니다 [51, 52].","웹/HTTP"
"쿠키(Cookie)와 세션(Session)의 차이점은 무엇인가요?","쿠키는 클라이언트(접속자 PC)에 텍스트 형식으로 저장되는 정보이며 보안에 취약합니다 [49, 53, 54]. 세션은 서버의 메모리 등 웹 서버 리소스를 사용하여 상태를 저장하고 클라이언트에게는 세션 ID만을 제공하여 비교적 안전합니다 [49, 53, 54].","웹/HTTP"
"JWT(JSON Web Token)에 대해 설명해주세요.","JWT는 인증에 필요한 정보들을 암호화시킨 JSON 토큰으로, 서버가 세션을 유지할 필요가 없어 Stateless한 특징을 가지며 서버 부하를 줄여줍니다 [55-57].","웹/HTTP"
"CORS가 무엇인가요?","SOP(동일 출처 정책)를 우회하여 다른 도메인이나 프로토콜 등의 다른 Origin으로 리소스 요청을 보낼 수 있도록 허용하는 교차 출처 리소스 공유 정책입니다 [58].","웹/HTTP"
"RESTful API가 무엇인가요?","URI를 통해 자원을 표시하고, HTTP Method를 이용하여 해당 자원의 행위를 정해주며 그 결과를 주고받는 REST 아키텍처를 원칙대로 사용하는 API를 의미합니다 [56].","웹/HTTP"
"HTTP 1.1의 HOL Blocking 문제란 무엇인가요?","파이프라이닝을 통해 여러 요청을 연속적으로 보내지만, 첫 번째 요청에 대한 응답이 지연되면 뒤따르는 요청들의 응답도 모두 대기하게 되는 문제입니다 [59].","웹/HTTP"
"HTTP 2.0의 멀티플렉싱(Multiplexing)이란 무엇인가요?","하나의 커넥션 안에 여러 개의 스트림이 존재하며, 프레임 단위로 쪼개진 메시지가 다중화되어 전송되므로 여러 요청을 동시에 처리할 수 있어 HOL Blocking을 해결합니다 [60].","웹/HTTP"
"HTTP 3.0은 어떤 프로토콜을 기반으로 하나요?","TCP 대신 UDP 기반의 QUIC 프로토콜을 사용하여 1 RTT만에 연결 설정을 완료하며 전송 속도를 최적화했습니다 [61, 62].","웹/HTTP"
"Connection Timeout과 Read Timeout의 차이는 무엇인가요?","Connection Timeout은 클라이언트가 서버에 접근을 시도할 때 연결 자체가 실패하여 발생하는 시간 제한이고, Read Timeout은 연결 성공 후 서버의 로직 처리 시간이 너무 길어 응답을 받지 못해 클라이언트가 연결을 끊는 상태입니다 [63].","웹/HTTP"
"웹 서버(Web Server)와 웹 어플리케이션 서버(WAS)의 차이는 무엇인가요?","웹 서버는 HTTP 요청을 받아 정적인 웹 페이지를 반환하며, WAS는 사용자 요구사항에 맞는 로직을 처리하여 동적인 컨텐츠를 제공합니다 [35].","웹/HTTP"
"Ping과 Traceroute의 차이는 무엇인가요?","Ping은 대상 서버까지 도달할 수 있는지(ICMP 응답)를 확인하고, Traceroute는 목적지까지 가는 길목에 있는 라우터들의 경로를 추적하여 어느 구간에서 통신이 끊겼는지 파악합니다 [64].","네트워크(기타)"
"도커 컨테이너와 가상 머신(VM)의 차이점 및 도커의 이점은 무엇인가요?","VM은 독립적인 완전한 OS를 포함하지만, 도커 컨테이너는 호스트 OS의 커널을 공유하고 필요한 종속성만 격리하므로 훨씬 가볍고 시작이 빠릅니다 [9]. 이로 인해 인프라 비용 절감, 이식성, 빠른 배포가 가능해집니다 [65].","도커"
"Docker 이미지와 Docker 컨테이너의 차이점은 무엇인가요?","Docker 이미지는 코드, 런타임, 시스템 라이브러리 등 소프트웨어를 실행하는 데 필요한 모든 것을 포함한 읽기 전용 패키지이며, 컨테이너는 이 이미지의 실행 가능한 인스턴스입니다 [1].","도커"
"Docker는 어떻게 격리를 달성하나요?","Linux 커널의 네임스페이스(namespaces)를 통해 프로세스와 네트워크 등을 격리하고, 컨트롤 그룹(cgroups)을 통해 컨테이너의 CPU, 메모리 등의 리소스 사용량을 제한합니다 [66].","도커"
"Dockerfile에서 멀티 스테이지 빌드 개념은 무엇이며 어떤 이점이 있나요?","단일 Dockerfile에서 여러 FROM 문을 사용하여 각 단계를 시작하는 것으로, 빌드 도구와 런타임 종속성을 분리해 최종 런타임 이미지에 필요한 파일만 복사함으로써 이미지 크기를 대폭 줄입니다 [67, 68].","도커"
"Dockerfile에서 CMD와 ENTRYPOINT의 차이점은 무엇인가요?","CMD는 컨테이너 실행 시 기본 인수를 제공하며 명령줄에서 쉽게 재정의할 수 있지만, ENTRYPOINT는 컨테이너를 실행 파일로 구성하며 파라미터가 고정되어 주로 핵심 실행 명령으로 쓰입니다 [69].","도커"
".dockerignore 파일의 목적은 무엇인가요?","빌드 컨텍스트가 도커 데몬으로 전송될 때 불필요한 파일이나 디렉토리(예: node_modules)가 이미지에 포함되는 것을 방지하여 빌드 시간과 최종 이미지 크기를 줄이는 역할을 합니다 [69-71].","도커"
"Docker 볼륨(Volume)과 바인드 마운트(Bind Mount)의 차이점은 무엇인가요?","Docker 볼륨(Named volumes)은 도커가 관리하는 영역에 저장되어 이식성과 백업이 쉽고 프로덕션 환경에 권장됩니다 [72, 73]. 바인드 마운트는 호스트 시스템의 특정 디렉토리를 컨테이너에 직접 연결하여 개발 시 소스코드 변경을 즉시 반영할 때 유용합니다 [74, 75].","도커"
"Docker의 브리지(bridge) 네트워크와 호스트(host) 네트워크 드라이버의 차이는 무엇인가요?","브리지 네트워크는 격리된 네트워크 환경을 구성하여 컨테이너 간 통신에 쓰이며 기본값입니다 [76, 77]. 호스트 네트워크는 컨테이너가 호스트 머신의 네트워크 스택을 직접 공유하여 포트 매핑 없이 최상의 성능을 냅니다 [76, 78].","도커"
"Docker Overlay Network란 무엇이며 언제 사용되나요?","다중 호스트 환경에서 분산된 도커 컨테이너들이 원활하게 통신할 수 있도록 해주는 네트워크 드라이버로, 주로 Docker Swarm 클러스터 환경에서 활용됩니다 [78-80].","도커"
"도커 이미지 빌드 레이어와 캐시의 원리는 무엇인가요?","도커는 Dockerfile의 각 명령어를 레이어로 빌드하고, 이전 레이어가 변경되지 않으면 캐시를 재활용합니다 [69, 81, 82]. 명령어 순서를 변경될 확률이 적은 것부터 배치하여 빌드 시간을 단축할 수 있습니다 [82, 83].","도커"
"계속 다시 시작되는 Docker 컨테이너의 문제를 어떻게 해결하나요?","먼저 `docker logs` 명령어로 애플리케이션 충돌 오류를 파악하고, `docker inspect`를 통해 ExitCode와 재시작 정책을 확인하여 원인을 진단합니다 [84, 85].","도커"
"Dockerfile에서 ADD와 COPY의 차이점은 무엇인가요?","COPY는 호스트의 로컬 파일이나 디렉터리를 이미지로 단순 복사합니다 [86, 87]. ADD는 URL에서 파일을 다운로드하거나 압축된 tar 파일을 자동으로 추출하는 추가 기능이 있습니다 [86-88].","도커"
"Kubernetes란 무엇이며 왜 사용되나요?","컨테이너화된 애플리케이션의 배포, 확장, 관리를 자동화하는 오케스트레이션 플랫폼으로, 높은 가용성과 효율적인 리소스 활용, 프로덕션 환경의 복잡성을 처리하기 위해 사용합니다 [89].","쿠버네티스"
"Kubernetes에서 Pod와 Container의 차이점을 설명해주세요.","컨테이너는 실행 가능한 소프트웨어 패키지이고, Pod는 하나 이상의 컨테이너와 스토리지 자원 등을 캡슐화한 쿠버네티스의 가장 작은 배포 단위입니다 [89]. Pod 내 컨테이너는 동일한 네트워크 네임스페이스를 공유합니다 [89].","쿠버네티스"
"Kubernetes 컨트롤 플레인의 주요 구성 요소는 무엇인가요?","API 노출을 담당하는 Kube-API Server, 클러스터 데이터를 저장하는 etcd, 파드 할당을 담당하는 Kube-Scheduler, 그리고 여러 컨트롤러 프로세스를 실행하는 Kube-Controller-Manager가 있습니다 [90].","쿠버네티스"
"Kubernetes에서 Deployment란 무엇이며 왜 사용되나요?","Pod 및 ReplicaSet의 상태를 관리하는 컨트롤러로, 선언적인 업데이트, 롤링 업데이트, 그리고 이전 버전으로의 롤백 기능을 지원하기 위해 사용됩니다 [90].","쿠버네티스"
"Kubernetes에서 Service의 종류는 무엇이 있나요?","클러스터 내부용 ClusterIP, 외부 노출을 위한 NodePort, 클라우드 제공업체의 로드밸런서를 연결하는 LoadBalancer 등이 있습니다 [91].","쿠버네티스"
"Deployment 대신 StatefulSet을 사용해야 하는 시나리오를 설명해주세요.","PostgreSQL, Kafka와 같이 각 복제본이 안정적이고 고유한 영구 스토리지와 네트워크 식별자(호스트 이름)를 요구하며, 순서가 있는 배포 및 확장이 필요한 상태 저장 애플리케이션에 사용합니다 [92-94].","쿠버네티스"
"DaemonSet과 Deployment의 차이점은 무엇인가요?","Deployment는 클러스터 전체에서 원하는 복제본 수를 유지하도록 배포하지만, DaemonSet은 모든(또는 일부 특정) 노드에서 정확히 하나의 Pod 복사본이 실행되도록 보장하여 로깅 에이전트나 모니터링 데몬 등에 쓰입니다 [95].","쿠버네티스"
"Kubernetes Job과 CronJob은 언제 사용하는가?","Job은 데이터를 처리한 후 종료되는 일회성 배치 작업이 성공적으로 완료되도록 보장할 때 사용하고, CronJob은 정의된 일정에 따라 반복적으로 Job을 실행할 때 사용합니다 [96, 97].","쿠버네티스"
"Kubernetes의 롤링 업데이트(RollingUpdate) 배포 전략이란 무엇인가요?","새로운 버전의 파드를 점진적으로 생성하면서 이전 파드를 순차적으로 교체하여 애플리케이션 서비스의 다운타임(중단 시간) 없이 업데이트를 진행하는 배포 방식입니다 [17, 92].","쿠버네티스"
"롤링 업데이트 옵션인 maxSurge와 maxUnavailable의 역할은 무엇인가요?","maxSurge는 업데이트 중 허용되는 최대 추가 생성 파드 수(기본 25%)이며, maxUnavailable은 업데이트 도중 최대로 삭제할 수 있는 파드 수를 정의하여 배포 속도와 가용성을 제어합니다 [98].","쿠버네티스"
"emptyDir과 hostPath 볼륨의 차이점은 무엇인가요?","emptyDir은 파드가 실행되는 동안만 유지되는 임시 디렉터리이며, hostPath는 노드의 파일 시스템을 파드에 직접 마운트하는 방식이나 파드가 노드에 종속되고 보안 위험이 있어 주의해야 합니다 [99].","쿠버네티스"
"PV(PersistentVolume)와 PVC(PersistentVolumeClaim)의 차이점은 무엇인가요?","PV는 실제 스토리지 인프라를 클러스터 리소스로 추상화한 객체이며, PVC는 사용자가 필요한 스토리지의 용량과 접근 모드를 요청하는 명세 객체입니다 [100].","쿠버네티스"
"Kubernetes StorageClass의 역할은 무엇인가요?","PVC의 요청에 따라 관리자가 미리 정의한 종류의 스토리지 인프라(PV)를 클라우드 제공업체 등을 통해 동적으로 프로비저닝하고 자동 생성해주는 템플릿 역할을 합니다 [100, 101].","쿠버네티스"
"Kubernetes Network Policy는 어떻게 보안을 강화하나요?","Pod 레벨에서 방화벽 역할을 하여 Pod 간 통신 또는 외부 엔드포인트와의 트래픽 흐름을 정의하고 제어함으로써, 무단 통신을 방지하고 네트워크를 논리적으로 분할합니다 [102, 103].","쿠버네티스"
"Pod가 Pending 상태에 머물러 있는 원인과 해결 방법은 무엇인가요?","CPU/메모리 등 리소스 부족, 노드 테인트(Taint) 문제, 바인딩되지 않은 볼륨 때문일 수 있습니다. `kubectl describe pod` 명령으로 스케줄링 실패 이벤트를 확인하여 진단합니다 [104, 105].","쿠버네티스"
"Pod가 CrashLoopBackOff 상태일 때 어떻게 디버깅하나요?","내부 컨테이너가 반복적으로 시작되고 충돌하고 있음을 의미합니다. `kubectl logs` 명령으로 애플리케이션 오류를 확인하고, 로그가 안 보이면 `kubectl describe pod`로 OOMKilled나 프로브 실패 이벤트를 확인합니다 [105].","쿠버네티스"
"Kubernetes Taints와 Tolerations는 Pod 스케줄링에 어떻게 사용되나요?","Taints는 노드에 적용되어 워크로드가 스케줄링되는 것을 막고, 일치하는 Tolerations를 가진 Pod만이 그 노드에 배치될 수 있게 하여 특정 하드웨어(GPU 등)에 워크로드를 격리할 때 사용합니다 [102].","쿠버네티스"
"비밀 정보(Secrets)를 쿠버네티스에서 안전하게 관리하는 방법은 무엇인가요?","기본 Secret은 Base64로만 인코딩되므로 프로덕션에서는 HashiCorp Vault, AWS Secrets Manager 등 외부 비밀 관리 시스템과 통합하고 CSI 드라이버를 통해 동적으로 마운트하여 보호합니다 [106, 107].","쿠버네티스"
"쿠버네티스에서 최소 권한의 원칙을 달성하는 방법은 무엇인가요?","RBAC(Role-Based Access Control)을 구현하여 사용자와 서비스 계정이 작업을 수행하는 데 필요한 최소한의 API 권한만 부여함으로써 계정 손상 시 피해를 최소화합니다 [103].","쿠버네티스"
"Helm 차트의 목적은 무엇인가요?","쿠버네티스 리소스들을 묶어주는 패키지 관리자로, 환경 전반에 걸친 일관된 배포, 매개변수화, 쉬운 롤백과 업그레이드를 허용하여 CI/CD 파이프라인 구성에 이점을 줍니다 [108, 109].","쿠버네티스"
"고가용성 엔터프라이즈 애플리케이션을 AWS 클라우드에 설계할 때 어떤 아키텍처를 사용할 수 있나요?","ALB로 트래픽을 분산하고 EC2 Auto Scaling 그룹을 묶어 트래픽에 맞춰 스케일 인/아웃하며, RDS는 Multi-AZ로 구성해 페일오버를 대비합니다. ElastiCache와 CloudFront CDN을 이용해 부하를 줄입니다 [11, 19, 110].","클라우드 아키텍처"
"클라우드 환경에서 비용을 최적화(Cost Optimization)하는 방법에는 어떤 것들이 있나요?","Cost Explorer를 통한 가시성 확보, 인스턴스 라이트사이징(Rightsizing), 미사용 인스턴스 중지 스케줄링, 안정된 워크로드를 위한 예약 인스턴스(RI) 및 Savings Plans 구매, S3 스토리지 계층화(Lifecycle Policy) 등이 있습니다 [111-116].","클라우드 아키텍처"
"레거시 시스템을 클라우드로 마이그레이션할 때 사용하는 6 R's 전략 중 Rehost와 Replatform의 차이는 무엇인가요?","Rehost(Lift and Shift)는 애플리케이션 변경 없이 VM 통째로 EC2 등으로 이전하는 방식이고, Replatform은 OS나 미들웨어, DB를 RDS나 Elastic Beanstalk 등 관리형 클라우드 서비스로 일부 변경하여 이전하는 전략입니다 [117-119].","클라우드 아키텍처"
"재해 복구(DR) 패턴 중 파일럿 라이트(Pilot Light)와 웜 스탠바이(Warm Standby)의 차이는 무엇인가요?","파일럿 라이트는 DB 등 핵심 요소만 동기화하고 앱 서버는 축소 대기시켜 재해 시 확장해 RTO가 다소 긴 반면, 웜 스탠바이는 전체 스택을 축소된 상태로 항상 실행해 RTO가 훨씬 빠릅니다 [120].","클라우드 아키텍처"
"클라우드 인프라 보안을 위한 다계층 방어(Defense in Depth)는 어떻게 구현할 수 있나요?","IAM을 통한 최소 권한 접근 제어, 프라이빗 서브넷 분리와 Security Group을 통한 네트워크 제어, KMS를 이용한 저장/전송 데이터 암호화, CloudTrail과 GuardDuty를 통한 지속적 모니터링을 상호 보완적으로 적용합니다 [121-123].","클라우드 아키텍처"
